Item,Group,NounExpectancy,ClassifierType,Sentence,Question,Answer
1,1,Expected,Specific,中国 古代 有钱人 出行 都 会 乘坐 一辆 很 精致 的 马车。,中国古代穷人出门坐马车吗？,Yes
1,2,Unexpected,Specific,中国 古代 有钱人 出行 都 会 乘坐 一顶 很 精致 的 轿子。,中国古代穷人出门坐马车吗？,No
1,3,Expected,General,中国 古代 有钱人 出行 都 会 乘坐 一些 很 精致 的 马车。,中国古代穷人出门坐马车吗？,Yes
1,4,Unexpected,General,中国 古代 有钱人 出行 都 会 乘坐 一些 很 精致 的 轿子。,中国古代穷人出门坐马车吗？,No
2,2,Expected,Specific,画家 小红 在 修改 草图 的 时候 总会 准备 一支 铅笔 和 一块 质量 好 的 橡皮。,小红在修改草图时会准备橡皮吗？,Yes
2,3,Unexpected,Specific,画家 小红 在 修改 草图 的 时候 总会 准备 一支 铅笔 和 一把 质量 好 的 尺子。,小红在修改草图时会准备橡皮吗？,No
2,4,Expected,General,画家 小红 在 修改 草图 的 时候 总会 准备 一支 铅笔 和 一个 质量 好 的 橡皮。,小红在修改草图时会准备橡皮吗？,Yes
2,1,Unexpected,General,画家 小红 在 修改 草图 的 时候 总会 准备 一支 铅笔 和 一个 质量 好 的 尺子。,小红在修改草图时会准备橡皮吗？,No
3,3,Expected,Specific,安妮 在 星巴克 买了 一杯 很 美味 的 咖啡。,安娜买了咖啡吗？,Yes
3,4,Unexpected,Specific,安妮 在 星巴克 买了 一块 很 美味 的 蛋糕。,安娜买了咖啡吗？,No
3,1,Expected,General,安妮 在 星巴克 买了 一些 很 美味 的 咖啡。,安娜买了咖啡吗？,Yes
3,2,Unexpected,General,安妮 在 星巴克 买了 一些 很 美味 的 蛋糕。,安娜买了咖啡吗？,No
4,4,Expected,Specific,小明 的 手机 提示 他 收到 朋友 发来 的 一条 非常 重要 的 信息。,小明收到信息了吗？,Yes
4,1,Unexpected,Specific,小明 的 手机 提示 他 收到 朋友 发来 的 一封 非常 重要 的 邮件。,小明收到信息了吗？,No
4,2,Expected,General,小明 的 手机 提示 他 收到 朋友 发来 的 一个 非常 重要 的 信息。,小明收到信息了吗？,Yes
4,3,Unexpected,General,小明 的 手机 提示 他 收到 朋友 发来 的 一个 非常 重要 的 邮件。,小明收到信息了吗？,No
5,1,Expected,Specific,历史 图书馆 里 收藏 着 一本 十分 神秘 的 书。,图书馆里有一本神秘的书吗？,Yes
5,2,Unexpected,Specific,历史 图书馆 里 收藏 着 一张 十分 神秘 的 地图。,图书馆里有一本神秘的书吗？,No
5,3,Expected,General,历史 图书馆 里 收藏 着 一些 十分 神秘 的 书。,图书馆里有一本神秘的书吗？,Yes
5,4,Unexpected,General,历史 图书馆 里 收藏 着 一些 十分 神秘 的 地图。,图书馆里有一本神秘的书吗？,No
6,2,Expected,Specific,西门子公司 为 科研 实验室 提供 了 一台 很 重要 的 机器。,实验室得到一台机器了吗？,Yes
6,3,Unexpected,Specific,西门子公司 为 科研 实验室 提供 了 一笔 很 重要 的 经费。,实验室得到一台机器了吗？,No
6,4,Expected,General,西门子公司 为 科研 实验室 提供 了 一些 很 重要 的 机器。,实验室得到一台机器了吗？,Yes
6,1,Unexpected,General,西门子公司 为 科研 实验室 提供 了 一些 很 重要 的 经费。,实验室得到一台机器了吗？,No
7,3,Expected,Specific,科学家 为 开展 科研 项目 申请 了 一笔 很 重要 的 经费。,科学家申请到经费了吗？,Yes
7,4,Unexpected,Specific,科学家 为 开展 科研 项目 申请 了 一台 很 重要 的 机器。,科学家申请到经费了吗？,No
7,1,Expected,General,科学家 为 开展 科研 项目 申请 了 一些 很 重要 的 经费。,科学家申请到经费了吗？,Yes
7,2,Unexpected,General,科学家 为 开展 科研 项目 申请 了 一些 很 重要 的 机器。,科学家申请到经费了吗？,No
8,4,Expected,Specific,不少 城市 的 标志性 广场 中央 都 有 一座 格外 美丽 的 雕塑。,城市中心有雕塑吗？,Yes
8,1,Unexpected,Specific,不少 城市 的 标志性 广场 中央 都 有 一口 格外 美丽 的 喷泉。,城市中心有雕塑吗？,No
8,2,Expected,General,不少 城市 的 标志性 广场 中央 都 有 一个 格外 美丽 的 雕塑。,城市中心有雕塑吗？,Yes
8,3,Unexpected,General,不少 城市 的 标志性 广场 中央 都 有 一个 格外 美丽 的 喷泉。,城市中心有雕塑吗？,No
9,1,Expected,Specific,骑 自行车 最好 准备 一件 质量 好 的 雨衣。,骑车最好准备雨衣吗？,Yes
9,2,Unexpected,Specific,骑 自行车 最好 准备 一把 质量 好 的 雨伞。,骑车最好准备雨衣吗？,No
9,3,Expected,General,骑 自行车 最好 准备 一个 质量 好 的 雨衣。,骑车最好准备雨衣吗？,Yes
9,4,Unexpected,General,骑 自行车 最好 准备 一个 质量 好 的 雨伞。,骑车最好准备雨衣吗？,No
10,2,Expected,Specific,十岁 的 小伟 给 妈妈 制作 了 一张 相当 精美 的 贺卡。,小伟制作了贺卡吗？,Yes
10,3,Unexpected,Specific,十岁 的 小伟 给 妈妈 制作 了 一块 相当 精美 的 蛋糕。,小伟制作了贺卡吗？,No
10,4,Expected,General,十岁 的 小伟 给 妈妈 制作 了 一个 相当 精美 的 贺卡。,小伟制作了贺卡吗？,Yes
10,1,Unexpected,General,十岁 的 小伟 给 妈妈 制作 了 一个 相当 精美 的 蛋糕。,小伟制作了贺卡吗？,No
11,3,Expected,Specific,演员 刘烨 新拍 的 一部 十分 精彩 的 电影。,刘烨新拍了电影吗？,Yes
11,4,Unexpected,Specific,演员 刘烨 新拍 的 一期 十分 精彩 的 节目。,刘烨新拍了电影吗？,No
11,1,Expected,General,演员 刘烨 新拍 的 一个 十分 精彩 的 电影。,刘烨新拍了电影吗？,Yes
11,2,Unexpected,General,演员 刘烨 新拍 的 一个 十分 精彩 的 节目。,刘烨新拍了电影吗？,No
12,4,Expected,Specific,学生 过 学校 的 电子门 需要 一张 相 对应 的 卡。,学生进校需要卡吗？,Yes
12,1,Unexpected,Specific,学生 过 学校 的 电子门 需要 一把 相 对应 的 钥匙。,学生进校需要卡吗？,No
12,2,Expected,General,学生 过 学校 的 电子门 需要 一个 相 对应 的 卡。,学生进校需要卡吗？,Yes
12,3,Unexpected,General,学生 过 学校 的 电子门 需要 一个 相 对应 的 钥匙。,学生进校需要卡吗？,No
13,1,Expected,Specific,院子 的 清澈 的 池塘 里 有 一条 不是 很大 的 鱼。,池塘里有一条鱼吗?,Yes
13,2,Unexpected,Specific,院子 的 清澈 的 池塘 里 有 一只 不是 很大 的 青蛙。,池塘里有一条鱼吗?,No
13,3,Expected,General,院子 的 清澈 的 池塘 里 有 一些 不是 很大 的 鱼。,池塘里有一条鱼吗?,Yes
13,4,Unexpected,General,院子 的 清澈 的 池塘 里 有 一些 不是 很大 的 青蛙。,池塘里有一条鱼吗?,No
14,2,Expected,Specific,庙宇 里 的 那些 猴子 被 行人 吓得 急忙 爬上 一棵 很 古老 的 树。,猴子爬上树了吗？,Yes
14,3,Unexpected,Specific,庙宇 里 的 那些 猴子 被 行人 吓得 急忙 爬上 一座 很 古老 的 佛像。,猴子爬上树了吗？,No
14,4,Expected,General,庙宇 里 的 那些 猴子 被 行人 吓得 急忙 爬上 一些 很 古老 的 树。,猴子爬上树了吗？,Yes
14,1,Unexpected,General,庙宇 里 的 那些 猴子 被 行人 吓得 急忙 爬上 一些 很 古老 的 佛像。,猴子爬上树了吗？,No
